algorithm,dimension,runtime,ess,ess_per_sec,rhat,divergences,acceptance_rate,seed,experiment,parameterisation,prior_std,tau_scale
HMC,100,3.461974859237671,540.6827607212109,156.17755261234612,1.176718539579356,0.0,,123,funnel,centred,,
NUTS,100,3.196640968322754,13645.198376685665,4268.605236529008,1.1259884081764322,0.0,,123,funnel,centred,,
RWM,200,1.5484707355499268,5.9192368200868195,3.822633960198577,2.1689566447960207,,0.011,123,funnel,centred,,
HMC,200,2.490591049194336,2227.6621123765017,894.4311082693052,1.39940370974227,0.0,,123,funnel,centred,,
NUTS,200,3.14841365814209,12726.38486655233,4042.157812916583,1.2481236341667328,0.0,,123,funnel,centred,,
RWM,500,2.0958471298217773,4.64552970255499,2.2165403365798095,3.2204423366251063,,0.007666666666666667,123,funnel,centred,,
HMC,500,2.5244312286376953,2085.5085911033243,826.1300872231585,1.2040600940707138,0.0,,123,funnel,centred,,
NUTS,500,3.10263729095459,10894.012554017294,3511.210474320551,1.1910841923916777,0.0,,123,funnel,centred,,
RWM,2,1.1540992259979248,1119.7268467177773,970.2171368753615,1.0034686130831538,,0.3596666666666667,18,funnel,noncentred,,
HMC,2,2.2330520153045654,35.59834427986129,15.941565192338809,1.0540865124211831,0.0,,18,funnel,noncentred,,
NUTS,2,3.4370388984680176,5865.968289086449,1706.692435660554,1.0005888976819395,0.0,,18,funnel,noncentred,,
